LAST SEEN   TYPE      REASON                   OBJECT                            MESSAGE
10m         Normal    Scheduled                pod/login-test-form               Successfully assigned openvas/login-test-form to talos-cleanroom-worker-02
38m         Normal    Scheduled                pod/greenbone-75d6cc858-l77r6     Successfully assigned openvas/greenbone-75d6cc858-l77r6 to talos-cleanroom-worker-01
30m         Normal    Scheduled                pod/greenbone-75d6cc858-b7wzv     Successfully assigned openvas/greenbone-75d6cc858-b7wzv to talos-cleanroom-worker-01
10s         Normal    Scheduled                pod/login-test-s7-3058            Successfully assigned openvas/login-test-s7-3058 to talos-cleanroom-worker-02
38m         Normal    Scheduled                pod/greenbone-59bffdcd94-z8f45    Successfully assigned openvas/greenbone-59bffdcd94-z8f45 to talos-cleanroom-worker-01
6m31s       Normal    Scheduled                pod/greenbone-7cbbd95c5-5bv7b     Successfully assigned openvas/greenbone-7cbbd95c5-5bv7b to talos-cleanroom-worker-01
6m36s       Normal    Scheduled                pod/greenbone-7fffdbd8-67vcp      Successfully assigned openvas/greenbone-7fffdbd8-67vcp to talos-cleanroom-worker-01
6m32s       Normal    Scheduled                pod/greenbone-75d6cc858-2mdrv     Successfully assigned openvas/greenbone-75d6cc858-2mdrv to talos-cleanroom-worker-01
31m         Normal    Scheduled                pod/greenbone-7fffdbd8-trww6      Successfully assigned openvas/greenbone-7fffdbd8-trww6 to talos-cleanroom-worker-01
31m         Normal    Scheduled                pod/login-test-s1-2590            Successfully assigned openvas/login-test-s1-2590 to talos-cleanroom-worker-02
31m         Normal    Scheduled                pod/greenbone-75d6cc858-25z4k     Successfully assigned openvas/greenbone-75d6cc858-25z4k to talos-cleanroom-worker-02
12m         Normal    Scheduled                pod/login-test-now                Successfully assigned openvas/login-test-now to talos-cleanroom-worker-02
10m         Normal    Scheduled                pod/login-test-json               Successfully assigned openvas/login-test-json to talos-cleanroom-worker-02
38m         Normal    Killing                  pod/greenbone-6868d4746d-xh5mk    Stopping container openvasd
38m         Normal    Killing                  pod/greenbone-6868d4746d-xh5mk    Stopping container gvmd
38m         Normal    Killing                  pod/greenbone-6868d4746d-xh5mk    Stopping container redis-server
38m         Normal    ScalingReplicaSet        deployment/greenbone              Scaled down replica set greenbone-6868d4746d from 1 to 0
38m         Normal    SuccessfulDelete         replicaset/greenbone-6868d4746d   Deleted pod: greenbone-6868d4746d-xh5mk
38m         Normal    Killing                  pod/greenbone-6868d4746d-xh5mk    Stopping container pg-gvm
38m         Normal    Killing                  pod/greenbone-6868d4746d-xh5mk    Stopping container ospd-openvas
38m         Normal    Killing                  pod/greenbone-6868d4746d-xh5mk    Stopping container gsa
38m         Normal    ScalingReplicaSet        deployment/greenbone              Scaled up replica set greenbone-59bffdcd94 from 0 to 1
38m         Normal    SuccessfulCreate         replicaset/greenbone-59bffdcd94   Created pod: greenbone-59bffdcd94-z8f45
38m         Normal    ScalingReplicaSet        deployment/greenbone              Scaled down replica set greenbone-59bffdcd94 from 1 to 0
38m         Normal    SuccessfulDelete         replicaset/greenbone-59bffdcd94   Deleted pod: greenbone-59bffdcd94-z8f45
38m         Normal    SuccessfulCreate         replicaset/greenbone-75d6cc858    Created pod: greenbone-75d6cc858-l77r6
37m         Normal    Started                  pod/greenbone-75d6cc858-l77r6     Started container vulnerability-tests
37m         Normal    Created                  pod/greenbone-75d6cc858-l77r6     Created container: vulnerability-tests
37m         Normal    Pulled                   pod/greenbone-75d6cc858-l77r6     Container image "harbor.knowledgeondemand.net/cleanroom/vulnerability-tests:latest" already present on machine
37m         Normal    Started                  pod/greenbone-75d6cc858-l77r6     Started container notus-data
37m         Normal    Pulled                   pod/greenbone-75d6cc858-l77r6     Container image "harbor.knowledgeondemand.net/cleanroom/notus-data:latest" already present on machine
37m         Normal    Created                  pod/greenbone-75d6cc858-l77r6     Created container: notus-data
37m         Normal    Started                  pod/greenbone-75d6cc858-l77r6     Started container scap-data
37m         Normal    Pulled                   pod/greenbone-75d6cc858-l77r6     Container image "harbor.knowledgeondemand.net/cleanroom/scap-data:latest" already present on machine
37m         Normal    Created                  pod/greenbone-75d6cc858-l77r6     Created container: scap-data
33m         Normal    Pulled                   pod/greenbone-75d6cc858-l77r6     Container image "harbor.knowledgeondemand.net/cleanroom/cert-bund-data:latest" already present on machine
